Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,12,0.01,0.9099999999999999,0.373885625187898
100% Corpus,12,0.01,symmetric,0.37634849933729314
100% Corpus,12,0.31,0.01,0.35702950074660483
100% Corpus,12,0.31,0.31,0.35251558630929797
100% Corpus,12,0.31,0.61,0.3570295007466049
100% Corpus,12,0.31,0.9099999999999999,0.3573998978883952
100% Corpus,12,0.31,symmetric,0.35251558630929797
100% Corpus,12,0.61,0.01,0.3380157031632513
100% Corpus,12,0.61,0.31,0.33774771795194064
100% Corpus,12,0.61,0.61,0.33774771795194064
100% Corpus,12,0.61,0.9099999999999999,0.3321948017469391
100% Corpus,12,0.61,symmetric,0.338593342824203
100% Corpus,12,0.9099999999999999,0.01,0.3068624541638157
100% Corpus,12,0.9099999999999999,0.31,0.309153767868852
100% Corpus,12,0.9099999999999999,0.61,0.30745464238157355
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.3070922615739327
100% Corpus,12,0.9099999999999999,symmetric,0.30709226157393266
100% Corpus,12,symmetric,0.01,0.3687544804235363
100% Corpus,12,symmetric,0.31,0.36740902048309737
100% Corpus,12,symmetric,0.61,0.3674236134100794
100% Corpus,12,symmetric,0.9099999999999999,0.3666002518041947
100% Corpus,12,symmetric,symmetric,0.3695802936333003
100% Corpus,12,asymmetric,0.01,0.36525429536384646
100% Corpus,12,asymmetric,0.31,0.3649547690207493
100% Corpus,12,asymmetric,0.61,0.3634534185926029
100% Corpus,12,asymmetric,0.9099999999999999,0.3437830128121548
100% Corpus,12,asymmetric,symmetric,0.36379217650328316
100% Corpus,13,0.01,0.01,0.3634643194377449
100% Corpus,13,0.01,0.31,0.3635729406838095
100% Corpus,13,0.01,0.61,0.3633079772316744
100% Corpus,13,0.01,0.9099999999999999,0.3637292714075065
100% Corpus,13,0.01,symmetric,0.3633079772316744
100% Corpus,13,0.31,0.01,0.35015688272407447
100% Corpus,13,0.31,0.31,0.3451601909756888
100% Corpus,13,0.31,0.61,0.3500374290316354
100% Corpus,13,0.31,0.9099999999999999,0.3447323790305666
100% Corpus,13,0.31,symmetric,0.34752616755909976
100% Corpus,13,0.61,0.01,0.33254715706449844
100% Corpus,13,0.61,0.31,0.3336475267107889
100% Corpus,13,0.61,0.61,0.319229642425156
100% Corpus,13,0.61,0.9099999999999999,0.3252331075092385
100% Corpus,13,0.61,symmetric,0.33171861062819186
